internachi ID,Website,Phones,Services,State
NACHI22020941,https://npiweb.com/waynecountynw,[],"['WDO/Insects', 'Radon', 'Stucco/EIFS', 'Pre-Listing', 'Commercial', 'New Construction', 'Chimneys', 'MoveInCertified', 'Four-Point Inspections', 'Mobile Home Inspector', 'Se Habla Español', 'COVID-19 Certified', 'Annual Inspections']",MI
NACHI20041020,,[],[],CA
NACHI16011118,http://4cornershomeinspect.com,"[['Office', '(443) 771-3478'], ['Mobile', '(443) 771-3478']]","['WDO/Insects', 'Radon', 'Septic', 'Water Quality', 'Pre-Listing', 'IAC2 Certified']",MD
NACHI18082224,http://truviewinspections.com,"[['Office', '(954) 406-0096'], ['Mobile', '(954) 593-0601']]","['WDO/Insects', 'Mold', 'Water Quality', 'Pre-Listing', 'Pools and Spas', 'MoveInCertified', 'Wind Mitigation Inspections', 'Four-Point Inspections']",FL
NACHI21101234,https://www.lppinspections.com,[],[],FL
NACHI10072610,http://expressionhomeinspector.com/,[],"['WDO/Insects', 'Mold', 'Radon', 'Commercial', 'New Construction', 'Thermal Imaging']",OR
NACHI22070314,https://www.hilaryshomeinspections.com,[],"['WDO/Insects', 'Mold', 'Radon', 'Water Quality', 'Lead', 'Stucco/EIFS', 'Pre-Listing', 'Commercial', 'New Construction', 'Log Homes', 'Thermal Imaging', 'Pools and Spas', 'MoveInCertified', 'Four-Point Inspections', 'Mobile Home Inspector', 'Drone Pilot', 'Healthy Homes Inspection', 'Annual Inspections']",CA
NACHI22091628,https://www.byingtonscopeandclean.com,[],[],CA
NACHI22072826,,[],[],TX
NACHI20031516,https://www.eagleeyehomeinspect.com/,"[['Office', '(304) 290-1894'], ['Primary', '(304) 290-1894']]","['Mold', 'Radon', 'Pre-Listing', 'Commercial', 'New Construction', 'Log Homes', 'Thermal Imaging', 'IAC2 Certified', 'Four-Point Inspections', 'Mobile Home Inspector']",WV
NACHI19011875,http://www.waypointpropertymn.com,"[['Office', '(612) 281-3864'], ['Mobile', '(612) 281-3864']]",[],MN
NACHI19080215,,[],[],CO
NACHI18072319,https://www.checkedrighthomeinspections.com,[],"['Mold', 'Pre-Listing']",IN
NACHI22090917,https://nextchapterinspections.com/,[],"['Pre-Listing', 'New Construction', 'Wind Mitigation Inspections', 'Four-Point Inspections', 'Annual Inspections']",FL
NACHI14031017,http://www.msrehomeinspectionservices.com,"[['Office', '(216) 403-4511'], ['Mobile', '(216) 403-4511']]","['WDO/Insects', 'Radon', 'Pre-Listing', 'New Construction', 'MoveInCertified', 'Four-Point Inspections']",OH
NACHI21061329,http://www.securehomeinsp.com,[],"['WDO/Insects', 'Mold', 'Pre-Listing', 'Thermal Imaging', 'MoveInCertified', 'Annual Inspections']",VA
NACHI12032905,http://proviewinspections.info,"[['Office', '(270) 485-2662'], ['Mobile', '(270) 485-2662']]","['Mold', 'Pre-Listing', 'Commercial', 'New Construction', 'Log Homes', 'IAC2 Certified', 'InterNACHI Home Energy Report', 'Mobile Home Inspector']",KY
NACHI22052011,http://openwindowhomeinspection.com,[],[],NC
NACHI21051738,,[],[],TN
NACHI20030428,http://www.haipro.com,[],[],IL
NACHI05021391,http://www.bishophomeinspection.com,"[['Office', '(269) 686-6485'], ['Fax', '(269) 686-7798']]","['Mold', 'Radon', 'Water Quality', 'Pre-Listing']",MI
NACHI21061727,,[],[],ND
NACHI19110103,,[],[],OK
NACHI08110803,http://www.magnoliainspector.com,"[['Office', '(601) 454-4073'], ['Fax', '(601) 824-9922']]","['Mold', 'Pre-Listing', 'New Construction', 'IAC2 Certified']",MS
NACHI20042718,,[],['Pre-Listing'],ID
NACHI21042347,,[],[],CA
NACHI18021522,http://www.bhinspectedhome.com,"[['Office', '(762) 585-5304'], ['Mobile', '(762) 585-5304']]","['Mold', 'Pre-Listing', 'Commercial', 'New Construction', 'Thermal Imaging', 'Chimneys', 'Mobile Home Inspector']",GA
NACHI20081002,http://www.heartstateinspections.com,[],"['WDO/Insects', 'Mold', 'Radon', 'Pre-Listing']",OH
NACHI19032023,,[],[],OR
NACHI13010711,http://www.sgpinspections.com,[],"['Pre-Listing', 'Commercial', 'New Construction', 'Chimneys', 'Pools and Spas', 'Wind Mitigation Inspections', 'Four-Point Inspections']",FL
NACHI10123003,,"[['Office', '(417) 622-9890'], ['Fax', '(417) 781-6375']]","['Mold', 'Radon', 'Lead', 'Stucco/EIFS', 'Pre-Listing', 'Commercial', 'New Construction', 'IAC2 Certified', 'Pools and Spas', 'Methamphetamine (Meth) Testing']",MO
NACHI05121291,http://www.RickBates.com,[],[],NY
NACHI11102401,http://www.bardouhome.com,"[['Office', '(352) 988-5964'], ['Mobile', '(352) 246-2755'], ['Fax', '(352) 988-5964']]","['Mold', 'Radon', 'Water Quality', 'Pre-Listing', 'New Construction', 'IAC2 Certified', 'Pools and Spas', 'MoveInCertified', 'Wind Mitigation Inspections']",FL
NACHI22040225,,[],[],CA
NACHI20091105,https://www.a1floridahomeinspections.com,[],[],FL
NACHI21120940,https://inspectifypros.com,[],"['WDO/Insects', 'Mold', 'Radon', 'Septic', 'Water Quality', 'Commercial', 'New Construction', 'Thermal Imaging', 'IAC2 Certified', 'Chimneys', 'Pools and Spas', 'MoveInCertified', 'Well Inspections', 'Annual Inspections']",TX
NACHI14080611,http://www.texasstarhomeinspections.com,[],[],TX
NACHI19072807,,[],[],MI
NACHI23061714,https://www.georgiapropertyinspectors.org/,[],"['Pre-Listing', 'Commercial', 'MoveInCertified', 'Annual Inspections']",GA
NACHI10092009,http://www.mclaughlininspections.com,"[['Office', '(518) 389-5449'], ['Mobile', '(518) 389-5449']]","['WDO/Insects', 'Mold', 'Radon', 'Septic', 'Water Quality', 'Lead', 'Stucco/EIFS', 'Pre-Listing', 'Commercial', 'New Construction', 'Log Homes', 'Thermal Imaging', 'IAC2 Certified', 'Chimneys', 'Pools and Spas', 'Mobile Home Inspector']",NY
NACHI17110717,http://cmhi-llc.com,[],[],MO
NACHI20081934,https://www.mypropertyinspector.com,[],"['WDO/Insects', 'Mold', 'Radon', 'Pre-Listing', 'New Construction', 'Thermal Imaging', 'IAC2 Certified', 'Chimneys', 'MoveInCertified', 'Annual Inspections']",OH
NACHI18032917,http://housemaster.com,"[['Mobile', '(302) 670-1960'], ['Cell', '(302) 670-1960']]","['WDO/Insects', 'Mold', 'Radon', 'Septic', 'Stucco/EIFS', 'Pre-Listing', 'Commercial', 'New Construction', 'Mobile Home Inspector']",DE
NACHI17110831,http://Hisandhershomeinspections.com,[],[],TX
NACHI19040231,http://www.abuyerschoice.com/Bradenton,"[['Office', '(941) 557-4251'], ['Mobile', '(941) 557-4251']]",[],FL
NACHI10112406,http://advantageinspections4you.com,[],[],TX
NACHI07083005,http://www.terrainspect.com,[],"['Stucco/EIFS', 'Pre-Listing', 'Commercial', 'New Construction', 'Chimneys', 'Pools and Spas', 'MoveInCertified', 'Mobile Home Inspector', 'Se Habla Español', 'Annual Inspections']",CA
NACHI18020510,http://www.mhschaefer.com,[],[],CT
NACHI20111919,https://www.trustedcheckhomeinspections.com,[],[],FL
NACHI22011934,,[],[],GA
NACHI11012103,,[],[],OH
NACHI18092733,http://www.pronjinspections.com,[],[],NJ
NACHI23010314,,[],[],NY
NACHI16080404,http://www.adinspectionstx.com,"[['Office', '(832) 566-0973'], ['Mobile', '(832) 566-0973']]","['WDO/Insects', 'Stucco/EIFS', 'Pre-Listing', 'Commercial', 'New Construction', 'Thermal Imaging', 'Pools and Spas', 'MoveInCertified', 'Four-Point Inspections', 'Mobile Home Inspector']",TX
NACHI19082315,http://www.visalia.wini.com,[],[],CA
NACHI05011094,http://www.kenco.org,[],"['WDO/Insects', 'Mold', 'Septic', 'Water Quality', 'Lead', 'Stucco/EIFS', 'Pre-Listing', 'Commercial', 'New Construction', 'Thermal Imaging', 'IAC2 Certified', 'Pools and Spas', 'MoveInCertified', 'Wind Mitigation Inspections', 'Four-Point Inspections', 'Mobile Home Inspector']",FL
NACHI20012505,https://www.advanced-inspections.com,[],"['Pre-Listing', 'New Construction', 'Thermal Imaging', 'Wind Mitigation Inspections', 'Four-Point Inspections', 'COVID-19 Certified']",PA
NACHI22032842,https://www.camhomeinspections.com,[],"['WDO/Insects', 'Mold', 'Radon', 'Water Quality', 'Pre-Listing', 'New Construction', 'Thermal Imaging', 'IAC2 Certified', 'Pools and Spas', 'Four-Point Inspections', 'Se Habla Español', 'Drone Pilot', 'Annual Inspections']",IL
NACHI21102820,https://www.yourrhi.com,[],"['Radon', 'Pre-Listing', 'Thermal Imaging', 'Mobile Home Inspector', 'Annual Inspections']",IN
NACHI07080705,,[],"['Radon', 'Pre-Listing', 'Commercial', 'New Construction', 'Log Homes', 'Energy Loss']",WY
NACHI21012256,https://www.cshomeinsp.com,[],[],FL
NACHI22010362,https://www.compassinspectionservices.com,[],[],LA
NACHI19081238,https://spotlightmaine.com/,[],"['WDO/Insects', 'Radon', 'Water Quality', 'Pre-Listing', 'New Construction', 'Thermal Imaging', 'Chimneys', 'Four-Point Inspections', 'Mobile Home Inspector', 'COVID-19 Certified']",ME
NACHI15011801,http://eagleeyehomeinspectionllc.com,[],"['WDO/Insects', 'Mold', 'Radon', 'Septic', 'Water Quality', 'Pre-Listing', 'Commercial', 'New Construction', 'Thermal Imaging', 'Chimneys', 'Pools and Spas']",PA
NACHI20030274,,[],[],FL
NACHI21052409,,[],[],CO
NACHI19042507,https://www.onboardhomeinspections.com/,[],['Pre-Listing'],GA
NACHI18061114,https://www.middcohomeinspections.com/,[],"['Radon', 'Stucco/EIFS', 'Pre-Listing', 'New Construction', 'Thermal Imaging', 'Sewer Line']",CO
NACHI19032730,http://athomepropertyinspections.com,"[['Office', '(330) 312-4928'], ['Cell', '(330) 312-4928']]","['Mold', 'Radon', 'Pre-Listing']",OH
NACHI21021507,,[],[],MO
NACHI09011408,http://www.prime-inspect.com,"[['Office', '(607) 829-2992'], ['Fax', '(607) 829-2992']]","['WDO/Insects', 'Mold', 'Radon', 'Septic', 'Water Quality', 'Pre-Listing', 'Commercial', 'New Construction', 'Log Homes', 'IAC2 Certified', 'MoveInCertified']",NY
NACHI18091233,https://www.rh-hi.com,"[['Office', '(605) 490-2916'], ['Office', '(605) 388-2924']]","['Radon', 'Water Quality', 'Pre-Listing', 'Thermal Imaging']",SD
NACHI15020208,http://e-specthomeinspections.com,[],"['WDO/Insects', 'Mold', 'Radon', 'Septic', 'Water Quality', 'Lead', 'Stucco/EIFS', 'Pre-Listing', 'Commercial', 'New Construction', 'Log Homes', 'Energy Loss', 'Thermal Imaging', 'IAC2 Certified', 'Chimneys', 'Pools and Spas', 'Green Certification', 'Methamphetamine (Meth) Testing', 'Sewer Line', 'MoveInCertified', 'InterNACHI Home Energy Report', 'Wind Mitigation Inspections', 'Four-Point Inspections', 'Home Energy Score Assessor', 'Mobile Home Inspector', 'COVID-19 Certified']",OH
NACHI13081415,http://www.peakinspectionservices.com,[],"['Radon', 'Pre-Listing', 'Commercial', 'New Construction']",NJ
NACHI23020725,https://www.nextdayinspect.com/schedule,[],[],VA
NACHI21121403,,[],"['Stucco/EIFS', 'Pre-Listing', 'New Construction', 'Energy Loss', 'Thermal Imaging', 'Chimneys', 'Pools and Spas', 'MoveInCertified', 'Wind Mitigation Inspections', 'Four-Point Inspections', 'Mobile Home Inspector', 'COVID-19 Certified', 'Permit Compliance', 'Annual Inspections']",FL
NACHI20080709,https://www.highpointmt.com,[],"['Radon', 'Water Quality', 'Pre-Listing', 'New Construction', 'Log Homes']",MT
NACHI22091409,,[],[],FL
NACHI17080111,,[],[],PA
NACHI20012126,,"[['Office', '(385) 777-9966'], ['Primary', '(385) 777-9966'], ['Mobile', '(385) 777-9966']]",[],UT
NACHI20050730,,[],[],FL
NACHI22101835,https://www.BrooksPropertyInspections.com,[],"['Mold', 'Pre-Listing', 'Commercial', 'Thermal Imaging', 'IAC2 Certified', 'Pools and Spas', 'MoveInCertified', 'Drone Pilot', 'Annual Inspections']",TN
NACHI23022522,https://www.ekinspection.com,[],"['WDO/Insects', 'Pre-Listing']",KS
NACHI20082104,https://www.facebook.com/Quality-Assured-Home-Inspections-LLC-101120298595547,[],"['Pre-Listing', 'New Construction', 'Chimneys', 'MoveInCertified', 'Wind Mitigation Inspections', 'Four-Point Inspections', 'COVID-19 Certified']",FL
